Scientific Name                              ,PLANTS Floristic Area,State and Province,Category,Duration,Growth Habit,Native Status,Active Growth Period,After Harvest Regrowth Rate,Bloom Period
Abutilon grandifolium,"NA (GU), HI","USA(HI, UM)",Dicot,Perennial,Shrub,L48(I)HI(I),,,
Abutilon hirtum,"NA (L48), PR, VI","USA+(PR, VI), USA(FL)",Dicot,Perennial,"Subshrub, Forb/herb",L48(I)PR(I)VI(I),,,
Abutilon hulseanum,"NA (L48), PR","USA+(PR), USA(FL, LA, TX)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N)PR(N),,,
Abutilon hypoleucum,NA (L48),USA(TX),Dicot,Perennial,"Shrub, Subshrub",L48(N),,,
Abutilon incanum,"NA (L48), HI","USA(AZ, CO, HI, NM)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N)HI(N),,,
Abutilon indicum,"NA (GU, PB), HI,PR, VI","USA+(PR, VI), USA(HI, MP, PW, UM)",Dicot,Perennial,"Subshrub, Shrub",L48(I)HI(I)PR(N)VI(N),,,
Abutilon indicum ssp. albescens,NA (GU),"USA(MP, UM)",Dicot,Perennial,Subshrub,L48(N),,,
Abutilon malacum,NA (L48),"USA(AZ, NM, TX)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Abutilon mauritianum,,,Dicot,,,,,,
Abutilon megapotamicum,,,Dicot,,,,,,
Abutilon menziesii,HI,USA(HI),Dicot,Perennial,Shrub,HI(N),,,
Abutilon mollicomum,NA (L48),"USA(AZ, NM, TX)",Dicot,Perennial,"Shrub, Forb/herb, Subshrub",L48(N),,,
Abutilon palmeri,NA (L48),"USA(AZ, CA)",Dicot,Perennial,"Shrub, Subshrub",L48(N),,,
Abutilon parishii,NA (L48),USA(AZ),Dicot,Perennial,"Shrub, Forb/herb, Subshrub",L48(N),,,
Abutilon parvulum,NA (L48),"USA(AZ, CA, CO, NM, NV, TX, UT)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Abutilon permolle,"NA (L48), PR","USA+(PR), USA(FL)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N)PR(N),,,
Abutilon reventum,NA (L48),USA(AZ),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Abutilon sandwicense,HI,USA(HI),Dicot,Perennial,Shrub,HI(N),,,
Abutilon theophrasti,"NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,Annual,Forb/herb,L48(I)CAN(I),,,
Abutilon thurberi,NA (L48),USA(AZ),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Abutilon trisulcatum,NA (L48),USA(TX),Dicot,Perennial,"Shrub, Subshrub",L48(N),,,
Abutilon wrightii,NA (L48),"USA(NM, TX)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Acacia,"NA (L48, PB)","USA(AZ, CA, FL, HI, MS, OR, PW)",Dicot,,,L48(I),,,
Acacia ×emoryana,NA (L48),USA (TX),Dicot,Perennial,"Shrub, Tree",L48(N),,,
Acacia abyssinica,,,Dicot,,,,,,
Acacia abyssinica ssp. calophylla,,,Dicot,,,,,,
Acacia acinacea,,,Dicot,,,,,,
Acacia aciphylla,,,Dicot,,,,,,
Acacia aculeatissima,,,Dicot,,,,,,
Acacia acuminata,,,Dicot,,,,,,
Acacia adunca,,,Dicot,,,,,,
Acacia alata,,,Dicot,,,,,,
Acacia ampliceps,,,Dicot,,,,,,
Acacia anegadensis,,,Dicot,Perennial,Tree,,,,
Acacia aneura,HI,USA(HI),Dicot,Perennial,"Tree, Shrub",HI(I),,,
Acacia angustissima,NA (L48),"USA (AR, AZ, FL, KS, LA, MO, NM, OK, TX)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Acacia angustissima var. chisosiana,NA (L48),USA (TX),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Acacia angustissima var. hirta,NA (L48),"USA (AR, AZ, FL, KS, LA, MO, NM, OK, TX)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Acacia angustissima var. leucothrix,NA (L48),USA (TX),Dicot,Perennial,"Forb/herb, Subshrub",L48(N),,,
Acacia angustissima var. shrevei,NA (L48),USA (AZ),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Acacia angustissima var. suffrutescens,NA (L48),"USA (AZ, NM)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Acacia arenaria,,,Dicot,,,,,,
Acacia auriculiformis,"NA (L48, GU, PB)","USA(FL, PW)",Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia baileyana,NA (L48),USA(CA),Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia beckleri,,,Dicot,,,,,,
Acacia berlandieri,NA (L48),USA (TX),Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia binervata,,,Dicot,,,,,,
Acacia boomanii,,,Dicot,,,,,,
Acacia brachybotrya,,,Dicot,,,,,,
Acacia buxifolia,,,Dicot,,,,,,
Acacia caesiella,,,Dicot,,,,,,
Acacia calamifolia,,,Dicot,,,,,,
Acacia cambagei,,,Dicot,,,,,,
Acacia cardiophylla,,,Dicot,,,,,,
Acacia catechu,,,Dicot,,,,,,
Acacia caven,,,Dicot,,,,,,
Acacia chinchillensis,,,Dicot,,,,,,
Acacia choriophylla,NA (L48),USA (FL),Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia cibaria,,,Dicot,,,,,,
Acacia cognata,,,Dicot,,,,,,
Acacia colletioides,,,Dicot,,,,,,
Acacia collinsii,,,Dicot,,,,,,
Acacia confusa,"NA (GU, PB), HI","USA(HI, PW)",Dicot,Perennial,Tree,L48(I)HI(I),,,
Acacia conspersa,,,Dicot,,,,,,
Acacia constricta,NA (L48),"USA (AZ, MD, NM, TX, VA)",Dicot,Perennial,"Tree, Shrub",L48(N),Spring and Summer,,Late Spring
Acacia constricta var. constricta,NA (L48),"USA (AZ, MD, NM, TX, VA)",Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia constricta var. paucispina,NA (L48),"USA (AZ, NM, TX)",Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia continua,,,Dicot,,,,,,
Acacia cornigera,NA (L48),USA (FL),Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia craspedocarpa,,,Dicot,,,,,,
Acacia cultriformis,,,Dicot,,,,,,
Acacia cupularis,,,Dicot,,,,,,
Acacia cyclops,NA (L48),USA(CA),Dicot,Perennial,Shrub,L48(I),Spring and Summer,,Mid Spring
Acacia davyi,,,Dicot,,,,,,
Acacia dealbata,NA (L48),"USA(CA, OR)",Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia deanei,,,Dicot,,,,,,
Acacia deanei ssp. paucijuga,,,Dicot,,,,,,
Acacia decora,,,Dicot,,,,,,
Acacia decurrens,NA (L48),USA(CA),Dicot,Perennial,Tree,L48(I),,,
Acacia dietrichiana,,,Dicot,,,,,,
Acacia difformis,,,Dicot,,,,,,
Acacia doratoxylon,,,Dicot,,,,,,
Acacia drummondii,,,Dicot,,,,,,
Acacia dunnii,,,Dicot,,,,,,
Acacia eburnea,,,Dicot,,,,,,
Acacia elata,NA (L48),USA(CA),Dicot,Perennial,Tree,L48(I),,,
Acacia erioloba,,,Dicot,,,,,,
Acacia erubescens,,,Dicot,,,,,,
Acacia estrophiolata,,,Dicot,,,,,,
Acacia extensa,,,Dicot,,,,,,
Acacia farnesiana,"NA (L48), HI, PR, VI","USA (AL, AZ, CA, FL, GA, HI, LA, MS, NM, TX, UM), USA+ (PR, VI)",Dicot,Perennial,"Tree, Shrub",L48(N)HI(I)PR(N)VI(N),,,
Acacia fimbriata,,,Dicot,,,,,,
Acacia floribunda,,,Dicot,,,,,,
Acacia galpinii,,,Dicot,,,,,,
Acacia genistifolia,,,Dicot,,,,,,
Acacia gerrardii,,,Dicot,,,,,,
Acacia gladiiformis,,,Dicot,,,,,,
Acacia glandulicarpa,,,Dicot,,,,,,
Acacia glauca,,,Dicot,,,,,,
Acacia goetzei,,,Dicot,,,,,,
Acacia gracilifolia,,,Dicot,,,,,,
Acacia greggii,NA (L48),"USA (AZ, CA, NM, NV, TX, UT)",Dicot,Perennial,"Tree, Shrub",L48(N),Spring and Summer,,Mid Spring
Acacia greggii var. greggii,NA (L48),"USA (AZ, CA, NM, NV, TX, UT)",Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia greggii var. wrightii,NA (L48),USA (TX),Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia hakeoides,,,Dicot,,,,,,
Acacia hebeclada,,,Dicot,,,,,,
Acacia hemiteles,,,Dicot,,,,,,
Acacia holosericea,,,Dicot,,,,,,
Acacia horrida,,,Dicot,,,,,,
Acacia howittii,,,Dicot,,,,,,
Acacia imbricata,,,Dicot,,,,,,
Acacia implexa,,,Dicot,,,,,,
Acacia irrorata,,,Dicot,,,,,,
Acacia iteaphylla,,,Dicot,,,,,,
Acacia ixiophylla,,,Dicot,,,,,,
Acacia jibberdingensis,,,Dicot,,,,,,
Acacia jonesii,,,Dicot,,,,,,
Acacia karroo,,,Dicot,,,,,,
Acacia koa,HI,USA(HI),Dicot,Perennial,Tree,HI(N),Year Round,,Spring
Acacia koaia,HI,USA(HI),Dicot,Perennial,Tree,HI(N),Year Round,,Early Spring
Acacia lanuginophylla,,,Dicot,,,,,,
Acacia lasiocalyx,,,Dicot,,,,,,
Acacia leiophylla,,,Dicot,,,,,,
Acacia ligulata,,,Dicot,,,,,,
Acacia lineata,,,Dicot,,,,,,
Acacia longifolia,NA (L48),USA(CA),Dicot,Perennial,"Tree, Shrub",L48(I),Spring and Summer,,Summer
Acacia longifolia ssp. sophorae,,,Dicot,,,,,,
Acacia longissima,,,Dicot,,,,,,
Acacia macracantha,"NA (L48), PR, VI","USA (FL, GA, NM), USA+ (PR, VI)",Dicot,Perennial,Tree,L48(N)PR(N)VI(N),,,
Acacia maidenii,,,Dicot,,,,,,
Acacia mangium,,,Dicot,,,,,,
Acacia mearnsii,"NA (L48), HI","USA(CA, HI)",Dicot,Perennial,"Tree, Shrub",L48(I)HI(I),,,
Acacia melanoxylon,"NA (L48), HI","USA(CA, HI)",Dicot,Perennial,Tree,L48(I)HI(I),Spring and Summer,,Early Spring
Acacia mellifera,,,Dicot,,,,,,
Acacia mellifera ssp. detinens,,,Dicot,,,,,,
Acacia merrallii,,,Dicot,,,,,,
Acacia microbotrya,,,Dicot,,,,,,
Acacia microcarpa,,,Dicot,,,,,,
Acacia millefolia,NA (L48),"USA (AZ, NM)",Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia montana,,,Dicot,,,,,,
Acacia mucronata,,,Dicot,,,,,,
Acacia multispicata,,,Dicot,,,,,,
Acacia muricata,"PR, VI","USA+ (PR, VI)",Dicot,Perennial,Tree,PR(N)VI(N),,,
Acacia myrtifolia,,,Dicot,,,,,,
Acacia neovernicosa,NA (L48),"USA (AZ, NM, TX)",Dicot,Perennial,Shrub,L48(N),,,
Acacia neriifolia,,,Dicot,,,,,,
Acacia nigrescens,,,Dicot,,,,,,
Acacia nilotica,"PR, VI","USA+ (PR, VI)",Dicot,Perennial,"Tree, Shrub",PR(I)VI(I),,,
Acacia nilotica ssp. adstringens,,,Dicot,,,,,,
Acacia nilotica ssp. kraussiana,,,Dicot,,,,,,
Acacia notabilis,,,Dicot,,,,,,
Acacia omalophylla,,,Dicot,,,,,,
Acacia oswaldii,,,Dicot,,,,,,
Acacia oxycedrus,,,Dicot,,,,,,
Acacia pachyceras,,,Dicot,,,,,,
Acacia pachyceras var. najdensis,,,Dicot,,,,,,
Acacia papyrocarpa,,,Dicot,,,,,,
Acacia paradoxa,NA (L48),USA(CA),Dicot,Perennial,Shrub,L48(I),,,
Acacia parramattensis,HI,USA(HI),Dicot,Perennial,Tree,HI(I),,,
Acacia parvipinnula,,,Dicot,,,,,,
Acacia pendula,,,Dicot,,,,,,
Acacia pennatula,,,Dicot,,,,,,
Acacia penninervis,,,Dicot,,,,,,
Acacia pentagona,,,Dicot,,,,,,
Acacia pinetorum,NA (L48),USA (FL),Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia podalyriifolia,NA (L48),USA(CA),Dicot,Perennial,Tree,L48(I),,,
Acacia polyacantha,"PR, VI","USA+ (PR, VI)",Dicot,Perennial,"Tree, Shrub",PR(I)VI(I),,,
Acacia polyacantha ssp. campylacantha,,,Dicot,,,,,,
Acacia pravissima,,,Dicot,,,,,,
Acacia prominens,,,Dicot,,,,,,
Acacia pruinosa,,,Dicot,,,,,,
Acacia pulchella,,,Dicot,,,,,,
Acacia pycnantha,NA (L48),USA(CA),Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia pyrifolia,,,Dicot,,,,,,
Acacia quornensis,,,Dicot,,,,,,
Acacia ramulosa,,,Dicot,,,,,,
Acacia redolens,NA (L48),"USA(AZ, CA)",Dicot,Perennial,Shrub,L48(I),,,
Acacia rehmanniana,,,Dicot,,,,,,
Acacia retinodes,NA (L48),"USA(CA, FL)",Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia retusa,"PR, VI","USA+ (PR, VI)",Dicot,Perennial,"Tree, Shrub, Vine",PR(N)VI(N),,,
Acacia richii,,,Dicot,,,,,,
Acacia rigens,,,Dicot,,,,,,
Acacia rigidula,NA (L48),USA (TX),Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia rivalis,,,Dicot,,,,,,
Acacia robusta,,,Dicot,,,,,,
Acacia roemeriana,NA (L48),"USA (NM, TX)",Dicot,Perennial,"Tree, Shrub",L48(N),,,
Acacia rossei,,,Dicot,,,,,,
Acacia rubida,,,Dicot,,,,,,
Acacia rupicola,,,Dicot,,,,,,
Acacia saliciformis,,,Dicot,,,,,,
Acacia salicina,,,Dicot,,,,,,
Acacia saligna,NA (L48),USA(CA),Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia schaffneri,NA (L48),USA (TX),Dicot,Perennial,Shrub,,,,
Acacia schaffneri var. bravoensis,NA (L48),USA (TX),Dicot,Perennial,Shrub,L48(N),,,
Acacia schaffneri var. schaffneri,,,Dicot,,,,,,
Acacia schottii,NA (L48),USA (TX),Dicot,Perennial,Shrub,L48(N),,,
Acacia schweinfurthii,,,Dicot,,,,,,
Acacia sclerosperma,,,Dicot,,,,,,
Acacia scleroxyla,,,Dicot,,,,,,
Acacia senegal,,,Dicot,,,,,,
Acacia senegal var. rostrata,,,Dicot,,,,,,
Acacia seyal,,,Dicot,,,,,,
Acacia sieberiana,,,Dicot,,,,,,
Acacia sieberiana var. woodii,,,Dicot,,,,,,
Acacia silvestris,,,Dicot,,,,,,
Acacia sophorae,,,Dicot,,,,,,
Acacia spectabilis,,,Dicot,,,,,,
Acacia sphaerocephala,NA (L48),USA (FL),Dicot,Perennial,Tree,L48(I),,,
Acacia stenophylla,,,Dicot,,,,,,
Acacia stowardii,,,Dicot,,,,,,
Acacia stricta,,,Dicot,,,,,,
Acacia suaveolens,,,Dicot,,,,,,
Acacia sublanata,,,Dicot,,,,,,
Acacia subulata,,,Dicot,,,,,,
Acacia swazica,,,Dicot,,,,,,
Acacia terminalis,,,Dicot,,,,,,
Acacia tetragonophylla,,,Dicot,,,,,,
Acacia tortilis,,,Dicot,,,,,,
Acacia tortilis ssp. heteracantha,,,Dicot,,,,,,
Acacia tortilis ssp. spirocarpa,,,Dicot,,,,,,
Acacia tortuosa,"NA (L48), PR, VI","USA (FL), USA+ (PR, VI)",Dicot,Perennial,"Tree, Shrub",L48(N)PR(N)VI(N),,,
Acacia trineura,,,Dicot,,,,,,
Acacia ulicifolia,,,Dicot,,,,,,
Acacia uncinata,,,Dicot,,,,,,
Acacia undulifolia,,,Dicot,,,,,,
Acacia urophylla,,,Dicot,,,,,,
Acacia verniciflua,,,Dicot,,,,,,
Acacia verticillata,NA (L48),USA(CA),Dicot,Perennial,"Tree, Shrub",L48(I),,,
Acacia victoriae,,,Dicot,,,,,,
Acacia viscidula,,,Dicot,,,,,,
Acacia visco,,,Dicot,,,,,,
Acacia vogeliana,"PR, VI","USA+ (PR, VI)",Dicot,Perennial,"Shrub, Tree, Vine",PR(N)VI(N),,,
Acacia wattsiana,,,Dicot,,,,,,
Acacia willardiana,,,Dicot,,,,,,
Acacia xanthophloea,,,Dicot,,,,,,
Acaciella,,"USA(AR, AZ, FL, KS, LA, MO, NM, OK, TX)",,,,L48(N),,,
